,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
23,solido,LSTM (Var. selec.),2.6035714285714286,0.07999999999999999,0.014638501094228,0.17582142857142855,2.6592857142857147,0.07999999999999999,1.3877787807814454e-17,0.08571428571428573
21,solido,RF (Todas var.),1.72,0.06,0.02,0.56,2.44,0.08,0.0,0.13
20,solido,RL (Todas var.),2.51,0.08,0.0,0.19,2.44,0.08,0.0,0.14
21,solido,RF (Var. selec.),1.675,0.055,0.025,0.57605,2.63,0.08,0.0,0.0991
22,solido,MLP (Var. selec.),2.50625,0.075,0.017320508075688773,0.2454625,2.635,0.08,0.0,0.0798875
20,solido,RL (Var. selec.),2.44,0.08,0.0,0.2228,2.7,0.08,0.0,0.0585
20,solido,RL (Univariado),2.62,0.08,0.0,0.0673,2.75,0.08,0.0,0.0984
23,solido,LSTM (Univariado),2.6192857142857138,0.08142857142857142,0.01245399698154478,0.12322857142857145,2.8878571428571433,0.08857142857142856,0.005150787536377125,0.09360714285714283
22,solido,MLP (Univariado),2.62,0.08249999999999999,0.016393596310754998,0.16472499999999998,2.95125,0.08875,0.0059947894041409,0.0894875
23,solido,LSTM (Todas var.),2.73,0.08,0.02,0.17,2.82,0.09,0.01,0.1
22,solido,MLP (Todas var.),2.67,0.08,0.02,0.25,3.03,0.09,0.01,0.11
21,solido,RF (Univariado),1.92,0.06,0.02,0.4546,3.05,0.09,0.010000000000000002,0.0596
