,tecnica,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
5,LSTM (Univar.),solido,2.3030711111111106,0.07193555555555556,0.0014703220441727185,0.3350722222222223,2.4645611111111103,0.07808666666666668,0.0004515487751022012,0.02292111111111111
5,MLP (Univar.),solido,2.436155555555556,0.07523666666666666,0.0009168424073961687,0.2574888888888889,2.5152377777777777,0.07906666666666666,0.0008160655383993144,0.015957777777777783
5,LSTM (var. selec.),solido,2.4797833333333332,0.07601999999999999,0.0013800992986282073,0.2664211111111112,2.717405555555556,0.08555888888888888,0.0017240441975372087,
5,MLP (var. selec.),solido,2.4902433333333334,0.07674222222222223,0.0010602562001122884,0.2119544444444444,2.7327877777777783,0.08619666666666666,0.0014439811222732369,0.009377777777777778
5,RF (Todas var.),solido,4.48,0.1,0.01,0.26,3.63,0.11,0.02,0.02
5,RL (Univar.),solido,3.51,0.10600000000000004,0.004898979485566353,0.2946666666666667,3.5933333333333333,0.11000000000000004,4.163336342344337e-17,0.03933333333333333
5,RF (Univar.),solido,3.631333333333333,0.11600000000000005,0.01083205120618128,0.1753333333333333,3.9446666666666657,0.126,0.006110100926607791,0.02866666666666668
5,RF (Var. selec.),solido,3.486413333333333,0.10946,0.0052702688103486075,0.21959333333333333,4.229033333333333,0.13189333333333333,0.005904852994689104,0.01484
5,RL (Var. selec.),solido,4.062986666666667,0.12254666666666665,0.012441375415211226,0.27048666666666665,4.644220000000002,0.14527333333333334,0.014169754957498582,0.012979999999999998
5,RL (Todas var.),solido,6.6,0.2,0.03,0.02,5.8,0.18,0.02,0.0
5,LSTM (Todas var.),solido,62.7,1.51,0.0,0.15,63.34,1.55,0.0,0.0
5,MLP (Todas var.),solido,62.69,1.51,0.0,0.1,63.36,1.55,0.0,0.01
