,parametro,AM,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
24,turbidez,RL (Var. selec.),12.98,0.22,0.0,0.0036,12.97,0.22,0.0,0.0025
27,turbidez,LSTM (Var. selec.),12.482142857142858,0.2114285714285715,0.030904725218262763,0.06322857142857143,13.220714285714287,0.22857142857142865,0.015050933932646775,0.0029071428571428573
30,turbidez,MLP (Todas var.),11.6,0.2,0.05,0.12,14.03,0.23,0.0,0.0
31,turbidez,LSTM (Todas var.),12.08,0.21,0.04,0.07,14.18,0.23,0.0,0.0
26,turbidez,MLP (Var. selec.),12.0425,0.205,0.03968626966596886,0.10805,13.44125,0.235,0.01732050807568878,0.0031875
29,turbidez,RF (Todas var.),8.44,0.14,0.06,0.49,13.98,0.24,0.0,0.01
28,turbidez,RL (Todas var.),12.22,0.21,0.0,0.03,14.21,0.24,0.0,0.0
28,turbidez,RL (Univariado),12.46,0.21,0.0,0.0013,14.39,0.24,0.0,0.0026
31,turbidez,LSTM (Univariado),11.989285714285714,0.20214285714285712,0.028329331450074206,0.05872857142857142,14.669285714285712,0.24357142857142866,0.012876968840942818,0.0027
30,turbidez,MLP (Univariado),11.58375,0.19625,0.03637908052713811,0.101875,14.763749999999998,0.24625,0.01653594569415369,0.003
25,turbidez,RF (Var. selec.),9.25,0.16,0.06,0.4219,14.325,0.25,0.030000000000000013,0.0054
29,turbidez,RF (Univariado),9.07,0.155,0.054999999999999986,0.40375,15.75,0.265,0.024999999999999998,0.00535
