,tecnica,parametro,mape_treino,rmse_treino,std_rmse_treino,r_quad_treino,mape_teste,rmse_teste,std_rmse_teste,r_quad_teste
7,MLP (Univar.),turbidez,11.98,0.21,0.0,0.08,13.62,0.24,0.0,0.08
6,MLP (var. selec.),turbidez,12.34,0.21,0.0,0.04,13.92,0.24,0.0,0.06
7,LSTM (Univar.),turbidez,12.33,0.21,0.0,0.07,14.08,0.24,0.0,0.05
6,LSTM (var. selec.),turbidez,12.56,0.22,0.0,0.05,14.3,0.25,0.0,0.04
7,RL (Univar.),turbidez,11.88,0.22,0.0,0.09,14.08,0.25,0.0,0.11
7,RF (Univar.),turbidez,12.34,0.22,0.01,0.09,14.55,0.26,0.01,0.06
6,RF (Var. selec.),turbidez,12.35,0.22,0.0,0.08,14.5,0.26,0.01,0.06
6,RL (Var. selec.),turbidez,12.44,0.23,0.01,0.07,14.6,0.26,0.0,0.1
7,RF (Todas var.),turbidez,15.64,0.28,0.01,0.0,15.26,0.27,0.01,0.0
7,RL (Todas var.),turbidez,19.16,0.3,0.03,0.02,19.06,0.29,0.04,0.07
7,MLP (Todas var.),turbidez,38.1,0.61,0.0,0.01,38.49,0.64,0.0,0.01
7,LSTM (Todas var.),turbidez,38.14,0.61,0.0,0.0,38.51,0.64,0.0,0.01
